name,serial,type,stage,temp,soc_max,dod,c_ch,c_dch,sampling,n_checkups,cap_initial,cap_final,retention_pct
TP_k01_01,TP_k01_01,k,1,10,0.05,0.0,0.0,0.0,FF,5,4.9322,4.8944,99.23
TP_k01_01_s2,TP_k01_01,k,2,10,0.05,0.0,0.0,0.0,FF,4,4.8717,4.8459,99.47
TP_k01_02,TP_k01_02,k,1,10,0.05,0.0,0.0,0.0,FF,5,4.8886,4.8569,99.35
TP_k01_02_s2,TP_k01_02,k,2,10,0.05,0.0,0.0,0.0,FF,4,4.8746,4.8446,99.38
TP_k01_03,TP_k01_03,k,1,10,0.05,0.0,0.0,0.0,FF,5,4.9216,4.8924,99.41
TP_k01_03_s2,TP_k01_03,k,2,10,0.05,0.0,0.0,0.0,FF,4,4.8789,4.8491,99.39
TP_k02_01,TP_k02_01,k,1,10,0.5,0.0,0.0,0.0,FF,5,4.8858,4.8319,98.9
TP_k02_01_s2,TP_k02_01,k,2,10,0.5,0.0,0.0,0.0,FF,4,4.8262,4.727,97.94
TP_k02_02,TP_k02_02,k,1,10,0.5,0.0,0.0,0.0,FF,5,4.8847,4.8255,98.79
TP_k02_02_s2,TP_k02_02,k,2,10,0.5,0.0,0.0,0.0,FF,4,4.8413,4.745,98.01
TP_k02_03,TP_k02_03,k,1,10,0.5,0.0,0.0,0.0,FF,5,4.8748,4.8149,98.77
TP_k02_03_s2,TP_k02_03,k,2,10,0.5,0.0,0.0,0.0,FF,4,4.8228,4.7288,98.05
TP_k03_01,TP_k03_01,k,1,10,1.0,0.0,0.0,0.0,FF,5,4.8049,4.7104,98.03
TP_k03_01_s2,TP_k03_01,k,2,10,1.0,0.0,0.0,0.0,FF,4,4.8784,4.8401,99.21
TP_k03_02,TP_k03_02,k,1,10,1.0,0.0,0.0,0.0,FF,5,4.8527,4.7505,97.89
TP_k03_02_s2,TP_k03_02,k,2,10,1.0,0.0,0.0,0.0,FF,4,4.8961,4.8563,99.19
TP_k03_03,TP_k03_03,k,1,10,1.0,0.0,0.0,0.0,FF,5,4.8221,4.7245,97.98
TP_k03_03_s2,TP_k03_03,k,2,10,1.0,0.0,0.0,0.0,FF,4,4.8793,4.8461,99.32
TP_k04_01,TP_k04_01,k,1,23,0.05,0.0,0.0,0.0,FF,3,4.8179,4.8218,100.08
TP_k04_01_s2,TP_k04_01,k,2,23,0.05,0.0,0.0,0.0,FF,3,4.7766,4.7224,98.87
TP_k04_02,TP_k04_02,k,1,23,0.05,0.0,0.0,0.0,FF,3,4.8824,4.8706,99.76
TP_k04_02_s2,TP_k04_02,k,2,23,0.05,0.0,0.0,0.0,FF,3,4.786,4.7251,98.73
TP_k04_03,TP_k04_03,k,1,23,0.05,0.0,0.0,0.0,FF,3,4.8546,4.8362,99.62
TP_k04_03_s2,TP_k04_03,k,2,23,0.05,0.0,0.0,0.0,FF,3,4.7799,4.7225,98.8
TP_k05_01,TP_k05_01,k,1,23,0.5,0.0,0.0,0.0,FF,3,4.8619,4.8158,99.05
TP_k05_01_s2,TP_k05_01,k,2,23,0.5,0.0,0.0,0.0,FF,3,4.7704,4.7079,98.69
TP_k05_02,TP_k05_02,k,1,23,0.5,0.0,0.0,0.0,FF,3,4.8792,4.8317,99.03
TP_k05_02_s2,TP_k05_02,k,2,23,0.5,0.0,0.0,0.0,FF,3,4.8094,4.747,98.7
TP_k05_03,TP_k05_03,k,1,23,0.5,0.0,0.0,0.0,FF,3,4.8274,4.7806,99.03
TP_k05_03_s2,TP_k05_03,k,2,23,0.5,0.0,0.0,0.0,FF,3,4.7853,4.7241,98.72
TP_k06_01,TP_k06_01,k,1,23,1.0,0.0,0.0,0.0,FF,3,4.8647,4.7871,98.4
TP_k06_01_s2,TP_k06_01,k,2,23,1.0,0.0,0.0,0.0,FF,3,4.7816,4.7245,98.81
TP_k06_02,TP_k06_02,k,1,23,1.0,0.0,0.0,0.0,FF,3,4.8238,4.7496,98.46
TP_k06_02_s2,TP_k06_02,k,2,23,1.0,0.0,0.0,0.0,FF,3,4.7677,4.7061,98.71
TP_k06_03,TP_k06_03,k,1,23,1.0,0.0,0.0,0.0,FF,3,4.8197,4.7477,98.51
TP_k06_03_s2,TP_k06_03,k,2,23,1.0,0.0,0.0,0.0,FF,3,4.7755,4.7115,98.66
TP_k07_01,TP_k07_01,k,1,45,0.05,0.0,0.0,0.0,FF,3,4.8539,4.8164,99.23
TP_k07_01_s2,TP_k07_01,k,2,45,0.05,0.0,0.0,0.0,FF,3,4.7905,4.7286,98.71
TP_k07_02,TP_k07_02,k,1,45,0.05,0.0,0.0,0.0,FF,3,4.8879,4.8532,99.29
TP_k07_02_s2,TP_k07_02,k,2,45,0.05,0.0,0.0,0.0,FF,3,4.7716,4.7163,98.84
TP_k07_03,TP_k07_03,k,1,45,0.05,0.0,0.0,0.0,FF,3,4.8714,4.8383,99.32
TP_k07_03_s2,TP_k07_03,k,2,45,0.05,0.0,0.0,0.0,FF,3,4.7718,4.7134,98.78
TP_k08_01,TP_k08_01,k,1,45,0.2,0.0,0.0,0.0,FF,3,4.9049,4.8438,98.75
TP_k08_01_s2,TP_k08_01,k,2,45,0.2,0.0,0.0,0.0,FF,4,4.8125,4.7248,98.18
TP_k08_02,TP_k08_02,k,1,45,0.2,0.0,0.0,0.0,FF,3,4.8963,4.8322,98.69
TP_k08_02_s2,TP_k08_02,k,2,45,0.2,0.0,0.0,0.0,FF,4,4.797,4.6912,97.79
TP_k08_03,TP_k08_03,k,1,45,0.2,0.0,0.0,0.0,FF,3,4.8946,4.8329,98.74
TP_k08_03_s2,TP_k08_03,k,2,45,0.2,0.0,0.0,0.0,FF,4,4.8298,4.7085,97.49
TP_k09_01,TP_k09_01,k,1,45,0.5,0.0,0.0,0.0,FF,3,4.7966,4.6687,97.33
TP_k09_01_s2,TP_k09_01,k,2,45,0.5,0.0,0.0,0.0,FF,4,4.8163,4.7038,97.66
TP_k09_02,TP_k09_02,k,1,45,0.5,0.0,0.0,0.0,FF,3,4.8117,4.6946,97.57
TP_k09_02_s2,TP_k09_02,k,2,45,0.5,0.0,0.0,0.0,FF,4,4.8186,4.7037,97.62
TP_k09_03,TP_k09_03,k,1,45,0.5,0.0,0.0,0.0,FF,3,4.7944,4.6554,97.1
TP_k09_03_s2,TP_k09_03,k,2,45,0.5,0.0,0.0,0.0,FF,4,4.8199,4.7097,97.71
TP_k10_01,TP_k10_01,k,1,45,0.8,0.0,0.0,0.0,FF,3,4.772,4.601,96.42
TP_k10_01_s2,TP_k10_01,k,2,45,0.8,0.0,0.0,0.0,FF,4,4.7552,4.5612,95.92
