pair,n_shot,tgt_mae,naive_mae,iw_mae,tgt_std,naive_std,iw_std
23→35°C,3,0.006036046397099273,0.0035186303221224013,0.0035467147708565377,0.0020620880163040646,0.0004678636402133009,0.00046670649829499544
23→35°C,5,0.00458020345440638,0.0033526485380803773,0.003378029636137409,0.0013690687604017628,0.000351717956460785,0.0003413311661568186
23→35°C,10,0.0033787151198098864,0.0032673079638160076,0.003248442537699625,0.0010148242485366634,0.0005324249230885056,0.00045298571806478763
23→35°C,15,0.003288715971050979,0.003195722047735803,0.0032331011972520835,0.00035390441955264755,0.0004971012870057486,0.00040520976093257413
23→35°C,20,0.003132650800314527,0.002840717758181121,0.0027757873572889103,0.0008341303976547287,0.0006680077736157917,0.0006291013991815412
23→35°C,30,0.0027927952407904976,0.0023820799987814725,0.0023871257775334065,0.0005070727044628808,0.0006794660002001465,0.0006795779712409695
23→35°C,40,0.003115744566833383,0.0023498230922819577,0.0027627510553872763,0.0005304613573017547,0.0005927959080167917,0.0007871628787033167
23→35°C,50,0.0022373995521917972,0.0022306456982333065,0.0021759874714259776,0.0015269597214493003,0.001067068013780481,0.001125239712465125
23→45°C,3,0.0066620080558047485,0.005622583778338025,0.005353252195512644,0.004182408815768338,0.0007212815956676344,0.0006649068459846329
23→45°C,5,0.004671052637118573,0.004984836766002481,0.004901256168910714,0.0012227195164670054,0.000847640373416978,0.0008120946891672866
23→45°C,10,0.0033067467219702203,0.004107695720538379,0.0039556809557632095,0.000895197682411489,0.0006543440717369106,0.0009952095043810679
23→45°C,15,0.0025251506988133604,0.003688167268723396,0.003353763877424031,0.0004917223818112597,0.0007211452348030194,0.0007842958015222901
23→45°C,20,0.002136338448864833,0.003710902201953528,0.0033785713453219914,0.00040135022886195616,0.0006400140442502482,0.0005934823947415798
23→45°C,30,0.0020640457913197996,0.0028584292763230257,0.002534619240740736,0.00038300325098632426,0.0010369774284391402,0.0009759066305049147
23→45°C,40,0.0021857393687848064,0.0032226793357906444,0.0029369324750547535,0.00045620291573289756,0.0016412802368887512,0.0016399921997182834
23→45°C,50,,,,,,
35→23°C,3,0.017814738229964055,0.009846782019499876,0.009727920190430608,0.007181088408512675,0.0018057125071505261,0.0019292771100394587
35→23°C,5,0.011961130474280924,0.01024125229128433,0.010009053464141587,0.005240304013180402,0.0014334457982784822,0.0014657783705312962
35→23°C,10,0.011271150157983138,0.009210844130997051,0.009064935315104305,0.001690389698010467,0.0028917200784171456,0.0027878785437020943
35→23°C,15,0.011143089699436826,0.008667369072448064,0.008473351177952232,0.0020105268944141507,0.003810076983075851,0.0036830154797024292
35→23°C,20,0.01127586111180744,0.007466925730097764,0.007339542441295761,0.002292982915720928,0.0035170375860028905,0.0034441821771034843
35→23°C,30,0.011480326673411593,0.006938678941242433,0.006715346220597072,0.006600331400097364,0.009312142269995704,0.009004796049303914
35→45°C,3,0.0061415864696687476,0.005673252345164291,0.005639153329468407,0.0029658344919599243,0.000642871088564387,0.0005247147750847033
35→45°C,5,0.005431060073630983,0.0052459163620018675,0.005302365473450472,0.003476040723912817,0.0008360056862171697,0.000761662974452852
35→45°C,10,0.0025918451425695913,0.00467762521151701,0.004603022337619579,0.0005262630110018833,0.0009063333156792502,0.000854316749622419
35→45°C,15,0.00239164994219403,0.0044175837634702515,0.004410041010865772,0.0004054559654197222,0.0006385348671971048,0.0007159296651615724
35→45°C,20,0.0021454810117362967,0.0040461505362692435,0.00400966596082231,0.0003117617348341158,0.0010636975983615248,0.0007832984944162181
35→45°C,30,0.0019587605278649015,0.0034441231565730457,0.0034926115151522434,0.000340983026333295,0.0011902580084172797,0.0010782252449209153
35→45°C,40,0.002192248039141215,0.0029565428597179587,0.002842936615030431,0.0007662550088430435,0.0014987576630150251,0.0016100149206126476
35→45°C,50,,,,,,
45→23°C,3,0.014775868212975002,0.010217354171473026,0.010307702337005682,0.004904252767124844,0.0010725942476440202,0.0009634912481523633
45→23°C,5,0.014085088934162054,0.00867658235288489,0.008819151934779354,0.004679349861006892,0.001555411203962375,0.0014661792601053261
45→23°C,10,0.012124964563804758,0.008900684352525872,0.008919172110593884,0.0024140632751071295,0.002010086064421676,0.0018972298929558742
45→23°C,15,0.010471506078433248,0.007836376038925383,0.00795688335038686,0.0020090395546542112,0.0025770869145568063,0.0027889417022793194
45→23°C,20,0.01176184266834366,0.009008137511963832,0.008839663710126483,0.003207017601999761,0.0046988580415311875,0.004553891191526995
45→23°C,30,0.013178754596705792,0.010123860637873353,0.009714726086508411,0.006966631219422526,0.007951633707048296,0.007546953967724534
45→35°C,3,0.007449197273634367,0.0042269328916293295,0.004584555194134756,0.004330642566733107,0.0009563432318574558,0.001467888486202515
45→35°C,5,0.004176810029043115,0.0037184114204842113,0.0038405543266078687,0.0006945065916173157,0.0003783013951702393,0.0003849579679470576
45→35°C,10,0.0035100828579473775,0.0033341498859366615,0.0034273788118140275,0.0007845501363100826,0.0005525958059524861,0.0004994938288055024
45→35°C,15,0.003385223208767613,0.003302118243248148,0.0032743366475300162,0.0005571771744394336,0.000551539166494141,0.0005444108887518678
45→35°C,20,0.003151987275941008,0.0030161383906341967,0.002906645413987511,0.000434792397807524,0.0004036173504684153,0.0004061421298043178
45→35°C,30,0.0029632232533345106,0.0027198435138636994,0.002615544846115846,0.0002929745810329341,0.0006633124936380599,0.0005385869216675373
45→35°C,40,0.002517179699917884,0.002260033256994302,0.002242045576718519,0.0007434136015899638,0.000878525855591213,0.0007480334766230696
45→35°C,50,0.0031174166395228,0.0024239554897624417,0.0023569795547685214,0.0020400352108274054,0.0020640415797420412,0.0022047561928205655
