pair,n_shot,tgt_mae,naive_mae,iw_mae,tgt_std,naive_std,iw_std
23→35°C,3,0.006876346720523609,0.0033744794204785544,0.0035698164276553117,0.0015014414318363066,0.00041594353315316105,0.0004223238155554127
23→35°C,5,0.005518125388068668,0.003299282736479256,0.003458935772633092,0.001373952755956382,0.0003045167624146026,0.00035997788164947444
23→35°C,10,0.004150500779639801,0.003203179029004146,0.003276326912827281,0.0012213496142940278,0.0005231356676524108,0.0004529392752603319
23→35°C,15,0.0032549858353138118,0.003203629810183119,0.0032814953267372563,0.0005473246578423308,0.000483138657077927,0.0004604955513707559
23→35°C,20,0.0030282603877985733,0.0028055402175402684,0.0028451120033335955,0.001095874748709922,0.0006490006150508796,0.0006403342501179205
23→35°C,30,0.0022835138684267377,0.002378446433889456,0.0025906895910661016,0.0006504096728984006,0.0007161614967891201,0.0007906930489809134
23→35°C,40,0.0022647626071309926,0.0023586759997331367,0.00288045834637811,0.0006866942599380476,0.0005930543551914992,0.0006772879111392681
23→35°C,50,0.0020053779363163916,0.0023060532091466407,0.0021637616442978995,0.0013056170659770305,0.001121502470642317,0.0010712360897180276
23→45°C,3,0.007152809971185098,0.005728035340438176,0.005611517220541417,0.0018835623635245857,0.0006146153108928197,0.0006996024812658622
23→45°C,5,0.006057383343546251,0.00511510293531651,0.005180702512784053,0.0012993166097787676,0.0007613027975194289,0.0008234676655688486
23→45°C,10,0.004472628613868305,0.004397694953407788,0.004214280148867574,0.001217263693704829,0.0005573818489104193,0.0010821350164302362
23→45°C,15,0.003455391895151886,0.003939622332019461,0.0035871245816729526,0.0007699787713611454,0.0006283326895082536,0.0007066925691115165
23→45°C,20,0.0030694761668204097,0.003843023731522029,0.003639185662319678,0.0006825755152933846,0.0006797592802096231,0.0007623462000267251
23→45°C,30,0.0026156562621097424,0.0029850300279055417,0.002748283121778266,0.001026118850502124,0.0009899752844120687,0.0009834536204998345
23→45°C,40,0.002773205264524028,0.003326849965222115,0.0029235183023534122,0.001189379939852026,0.0016334055554064848,0.0015360550459315304
35→23°C,3,0.01526103660021087,0.009749070639665031,0.009649050787018767,0.0022021850825340904,0.001990264177519066,0.0018758684821933507
35→23°C,5,0.015088437055575249,0.010313384766840525,0.010079192247722964,0.003164494511193274,0.0017443746817420512,0.001700666979312598
35→23°C,10,0.010643792992805367,0.009076892884028246,0.008942648692910194,0.002677000900481087,0.002782975271621109,0.002560356047755927
35→23°C,15,0.00935580991858671,0.00805424679207242,0.008027961653873688,0.002803909241057782,0.003398163256604191,0.0031437737646920825
35→23°C,20,0.008126732904576082,0.007079295152640571,0.007076957143525735,0.003745841037867776,0.004075519808446941,0.00397939057421994
35→23°C,30,0.008975813302410087,0.007665793385918761,0.008092729818865371,0.007594642673409843,0.008361005215649269,0.008088188846992056
35→45°C,3,0.0076388268951129105,0.00561882663704766,0.00557360560937205,0.002888340922109673,0.0006105542627361544,0.0008002668594144358
35→45°C,5,0.005894494086130206,0.005004177328847125,0.005083309435200102,0.0015894982558462753,0.0006468049271640051,0.000651306672420203
35→45°C,10,0.004392855277852844,0.004299424468180406,0.004512540357340998,0.0009466986270423837,0.0005727468623406023,0.0005588229031076694
35→45°C,15,0.0032122696040964233,0.003956221526564954,0.0038587730059421016,0.000724130679292245,0.0006222340476388272,0.0005576877937252781
35→45°C,20,0.003634397974062969,0.0040806572064730415,0.004046588842918862,0.0010590766321118658,0.0008413761056940815,0.000710101015436262
35→45°C,30,0.0031478946667232804,0.003656205160689479,0.00382313546460724,0.0012383736293494379,0.0010958898898855989,0.0010123165901913824
35→45°C,40,0.002267958530257875,0.0028882135318978133,0.0028971693149595565,0.0012073911735784241,0.0012211049244389234,0.0011777952809295196
45→23°C,3,0.015966761177861895,0.009244356727468903,0.009617916571685493,0.002824447545751095,0.0016919951850404805,0.001569530060200292
45→23°C,5,0.013696362056982747,0.008910100027204887,0.009152201303104342,0.0035706036861178937,0.0016969864228203971,0.0015749179189705142
45→23°C,10,0.010769478102337075,0.008599050010866105,0.008721614146462503,0.002279275701196775,0.0023967949354416988,0.0024504209683919747
45→23°C,15,0.009764595375138347,0.008114096706857737,0.008256817863257392,0.0030172204346527254,0.0032105139124771255,0.003129265926386378
45→23°C,20,0.007669820081223293,0.006886296985004529,0.0067744460662864285,0.0032783745595530147,0.0025498921343683743,0.002806493851108323
45→23°C,30,0.010891539816045842,0.009187139134692792,0.009141522531167628,0.010086856615369793,0.008937103396020574,0.00904193551570497
45→35°C,3,0.006240572535414939,0.003991866470783047,0.004186520827040306,0.0017027390650677379,0.00036019749720011206,0.0004179803614445532
45→35°C,5,0.0049505803920037745,0.003730118849792894,0.0038708078478041016,0.0014263695501728281,0.0004184141389884037,0.0005040997790761863
45→35°C,10,0.0037575694985824623,0.0033826696228786077,0.0033730600124308742,0.0009833725180462298,0.0006747763617585181,0.000670198879972332
45→35°C,15,0.003273124715297092,0.003305673341526172,0.003191676930513384,0.0007437640868726602,0.0006694151050014383,0.0006498239578984162
45→35°C,20,0.002887154037982885,0.003071709283117989,0.002947111144011202,0.0005390467188561283,0.0005609406767889978,0.00045793524577117145
45→35°C,30,0.002266884206273715,0.0026156607501877757,0.0023936547821085978,0.00044539266758214806,0.0005851179044952634,0.0004674257517920543
45→35°C,40,0.0022244010469992777,0.0024623678388944557,0.002383074229521041,0.0006848156621300797,0.0008225660921808845,0.0007236454489559985
45→35°C,50,0.0026863476511637006,0.002926622648736623,0.0028169788823732946,0.0017206578849887188,0.0022614075223794123,0.0020560770302580898
