serial_internal,serial,lab,type,tp,cell,amb_temp_tp,soc_max_tp,dod_tp,c_ch_tp,c_dch_tp,sampling,stage,m_0,scale,R_1khz_0,resistance_meter,U_0, volt_meter
S001,TP_k01_01,SIE,k,1,1,10,0.05,0,0,0,FF,1,68.643,Sartorius BP 310S,13.44,HP 4338B Milliohmmeter,3.5785,Fluke 189
S002,TP_k01_02,SIE,k,1,2,10,0.05,0,0,0,FF,1,68.278,Sartorius BP 310S,12.56,HP 4338B Milliohmmeter,3.5769,Fluke 189
S003,TP_k01_03,SIE,k,1,3,10,0.05,0,0,0,FF,1,68.606,Sartorius BP 310S,12.33,HP 4338B Milliohmmeter,3.5748,Fluke 189
S004,TP_k02_01,SIE,k,2,1,10,0.5,0,0,0,FF,1,68.585,Sartorius BP 310S,12.64,HP 4338B Milliohmmeter,3.5793,Fluke 189
S005,TP_k02_02,SIE,k,2,2,10,0.5,0,0,0,FF,1,68.401,Sartorius BP 310S,12.91,HP 4338B Milliohmmeter,3.575,Fluke 189
S006,TP_k02_03,SIE,k,2,3,10,0.5,0,0,0,FF,1,68.301,Sartorius BP 310S,13.35,HP 4338B Milliohmmeter,3.5766,Fluke 189
S007,TP_k03_01,SIE,k,3,1,10,1,0,0,0,FF,1,68.093,Sartorius BP 310S,13.25,HP 4338B Milliohmmeter,3.5746,Fluke 189
S008,TP_k03_02,SIE,k,3,2,10,1,0,0,0,FF,1,68.273,Sartorius BP 310S,13.14,HP 4338B Milliohmmeter,3.5761,Fluke 189
S009,TP_k03_03,SIE,k,3,3,10,1,0,0,0,FF,1,68.266,Sartorius BP 310S,13.03,HP 4338B Milliohmmeter,3.5752,Fluke 189
S010,TP_k01_04,SIE,k,1,4,10,0.05,0,0,0,FF,1,68.231,Sartorius BP 310S,12.93,HP 4338B Milliohmmeter,3.5781,Fluke 189
S011,TP_k01_05,SIE,k,1,5,10,0.05,0,0,0,FF,1,68.282,Sartorius BP 310S,12.37,HP 4338B Milliohmmeter,3.5776,Fluke 189
S012,TP_k01_06,SIE,k,1,6,10,0.05,0,0,0,FF,1,68.613,Sartorius BP 310S,13.29,HP 4338B Milliohmmeter,3.5757,Fluke 189
S013,TP_k02_04,SIE,k,2,4,10,0.5,0,0,0,FF,1,68.344,Sartorius BP 310S,12.4,HP 4338B Milliohmmeter,3.5754,Fluke 189
S014,TP_k02_05,SIE,k,2,5,10,0.5,0,0,0,FF,1,68.232,Sartorius BP 310S,12.4,HP 4338B Milliohmmeter,3.5776,Fluke 189
S015,TP_k02_06,SIE,k,2,6,10,0.5,0,0,0,FF,1,68.213,Sartorius BP 310S,12.68,HP 4338B Milliohmmeter,3.5765,Fluke 189
S016,TP_k03_04,SIE,k,3,4,10,1,0,0,0,FF,1,68.658,Sartorius BP 310S,12.39,HP 4338B Milliohmmeter,3.5793,Fluke 189
S017,TP_k03_05,SIE,k,3,5,10,1,0,0,0,FF,1,68.284,Sartorius BP 310S,12.57,HP 4338B Milliohmmeter,3.5768,Fluke 189
S018,TP_k03_06,SIE,k,3,6,10,1,0,0,0,FF,1,67.988,Sartorius BP 310S,13.1,HP 4338B Milliohmmeter,3.5774,Fluke 189
INT001,TP_k04_01,INT,k,4,1,23,0.05,0,0,0,FF,1,68.2,KERN FCB 6k0.5,12.584,HIOKI BT3563,3.5769,HIOKI BT3563
INT002,TP_k04_02,INT,k,4,2,23,0.05,0,0,0,FF,1,68.2,KERN FCB 6k0.5,12.458,HIOKI BT3563,3.5774,HIOKI BT3563
INT003,TP_k04_03,INT,k,4,3,23,0.05,0,0,0,FF,1,68.2,KERN FCB 6k0.5,12.76,HIOKI BT3563,3.5778,HIOKI BT3563
INT004,TP_k05_01,INT,k,5,1,23,0.5,0,0,0,FF,1,68.2,KERN FCB 6k0.5,12.568,HIOKI BT3563,3.5767,HIOKI BT3563
INT005,TP_k05_02,INT,k,5,2,23,0.5,0,0,0,FF,1,68.2,KERN FCB 6k0.5,12.042,HIOKI BT3563,3.5762,HIOKI BT3563
INT006,TP_k05_03,INT,k,5,3,23,0.5,0,0,0,FF,1,68.2,KERN FCB 6k0.5,13.023,HIOKI BT3563,3.5764,HIOKI BT3563
INT007,TP_k06_01,INT,k,6,1,23,1,0,0,0,FF,1,68.2,KERN FCB 6k0.5,12.176,HIOKI BT3563,3.5781,HIOKI BT3563
INT008,TP_k06_02,INT,k,6,2,23,1,0,0,0,FF,1,68.2,KERN FCB 6k0.5,12.926,HIOKI BT3563,3.5773,HIOKI BT3563
INT009,TP_k06_03,INT,k,6,3,23,1,0,0,0,FF,1,68.2,KERN FCB 6k0.5,12.739,HIOKI BT3563,3.5762,HIOKI BT3563
INT010,TP_k04_04,INT,k,4,4,23,0.05,0,0,0,FF,1,68.261,KERN FCB 6k0.5,12.611,HIOKI BT3563,3.5776,HIOKI BT3563
INT011,TP_k04_05,INT,k,4,5,23,0.05,0,0,0,FF,1,68.261,KERN FCB 6k0.5,12.262,HIOKI BT3563,3.5755,HIOKI BT3563
INT012,TP_k04_06,INT,k,4,6,23,0.05,0,0,0,FF,1,68.261,KERN FCB 6k0.5,12.412,HIOKI BT3563,3.5799,HIOKI BT3563
INT013,TP_k05_04,INT,k,5,4,23,0.5,0,0,0,FF,1,68.261,KERN FCB 6k0.5,12.258,HIOKI BT3563,3.5777,HIOKI BT3563
INT014,TP_k05_05,INT,k,5,5,23,0.5,0,0,0,FF,1,68.261,KERN FCB 6k0.5,12.437,HIOKI BT3563,3.5757,HIOKI BT3563
INT015,TP_k05_06,INT,k,5,6,23,0.5,0,0,0,FF,1,68.261,KERN FCB 6k0.5,12.105,HIOKI BT3563,3.5778,HIOKI BT3563
INT016,TP_k06_04,INT,k,6,4,23,1,0,0,0,FF,1,68.45,KERN FCB 6k0.5,12.533,HIOKI BT3563,3.57244,HIOKI BT3563
INT017,TP_k06_05,INT,k,6,5,23,1,0,0,0,FF,1,68.45,KERN FCB 6k0.5,12.96,HIOKI BT3563,3.57148,HIOKI BT3563
INT018,TP_k06_06,INT,k,6,6,23,1,0,0,0,FF,1,68.2,KERN FCB 6k0.5,13.077,HIOKI BT3563,3.57486,HIOKI BT3563
HM001,TP_k07_01,HM,k,7,1,45,0.05,0,0,0,FF,1,68.29,KERN ABT 220-5DM,12.56,HIOKI 3554,3.575,HIOKI 3554
HM002,TP_k07_02,HM,k,7,2,45,0.05,0,0,0,FF,1,68.4,KERN ABT 220-5DM,12.64,HIOKI 3554,3.574,HIOKI 3554
HM003,TP_k07_03,HM,k,7,3,45,0.05,0,0,0,FF,1,68.29,KERN ABT 220-5DM,12.93,HIOKI 3554,3.577,HIOKI 3554
HM004,TP_k08_01,HM,k,8,1,45,0.2,0,0,0,FF,1,68.69,KERN ABT 220-5DM,11.85,HIOKI 3554,3.575,HIOKI 3554
HM005,TP_k08_02,HM,k,8,2,45,0.2,0,0,0,FF,1,68.66,KERN ABT 220-5DM,12.43,HIOKI 3554,3.574,HIOKI 3554
HM006,TP_k08_03,HM,k,8,3,45,0.2,0,0,0,FF,1,68.68,KERN ABT 220-5DM,12.01,HIOKI 3554,3.575,HIOKI 3554
HM007,TP_k09_01,HM,k,9,1,45,0.5,0,0,0,FF,1,68.24,KERN ABT 220-5DM,12.27,HIOKI 3554,3.577,HIOKI 3554
HM008,TP_k09_02,HM,k,9,2,45,0.5,0,0,0,FF,1,68.37,KERN ABT 220-5DM,12.26,HIOKI 3554,3.575,HIOKI 3554
HM009,TP_k09_03,HM,k,9,3,45,0.5,0,0,0,FF,1,68.25,KERN ABT 220-5DM,12.67,HIOKI 3554,3.575,HIOKI 3554
HM010,TP_k10_01,HM,k,10,1,45,0.8,0,0,0,FF,1,68.7,KERN ABT 220-5DM,12.18,HIOKI 3554,3.575,HIOKI 3554
HM011,TP_k10_02,HM,k,10,2,45,0.8,0,0,0,FF,1,68.71,KERN ABT 220-5DM,12.21,HIOKI 3554,3.574,HIOKI 3554
HM012,TP_k10_03,HM,k,10,3,45,0.8,0,0,0,FF,1,68.64,KERN ABT 220-5DM,12.57,HIOKI 3554,3.576,HIOKI 3554
HM013,TP_k11_01,HM,k,11,1,45,1,0,0,0,FF,1,68.14,KERN ABT 220-5DM,12.55,HIOKI 3554,3.576,HIOKI 3554
HM014,TP_k11_02,HM,k,11,2,45,1,0,0,0,FF,1,68.66,KERN ABT 220-5DM,12.31,HIOKI 3554,3.575,HIOKI 3554
HM015,TP_k11_03,HM,k,11,3,45,1,0,0,0,FF,1,68.66,KERN ABT 220-5DM,12.48,HIOKI 3554,3.577,HIOKI 3554
HM016,TP_k07_04,HM,k,7,4,45,0.05,0,0,0,FF,1,68.73,KERN ABT 220-5DM,12.01,HIOKI 3554,3.575,HIOKI 3554
HM017,TP_k07_05,HM,k,7,5,45,0.05,0,0,0,FF,1,68.69,KERN ABT 220-5DM,12.31,HIOKI 3554,3.576,HIOKI 3554
HM018,TP_k07_06,HM,k,7,6,45,0.05,0,0,0,FF,1,68.68,KERN ABT 220-5DM,11.84,HIOKI 3554,3.576,HIOKI 3554
HM019,TP_k08_04,HM,k,8,4,45,0.2,0,0,0,FF,1,68.68,KERN ABT 220-5DM,12.33,HIOKI 3554,3.577,HIOKI 3554
HM020,TP_k08_05,HM,k,8,5,45,0.2,0,0,0,FF,1,68.72,KERN ABT 220-5DM,12.72,HIOKI 3554,3.577,HIOKI 3554
HM021,TP_k08_06,HM,k,8,6,45,0.2,0,0,0,FF,1,68.36,KERN ABT 220-5DM,12.91,HIOKI 3554,3.574,HIOKI 3554
HM022,TP_k09_04,HM,k,9,4,45,0.5,0,0,0,FF,1,68.71,KERN ABT 220-5DM,12.65,HIOKI 3554,3.575,HIOKI 3554
HM023,TP_k09_05,HM,k,9,5,45,0.5,0,0,0,FF,1,68.78,KERN ABT 220-5DM,12.06,HIOKI 3554,3.575,HIOKI 3554
HM024,TP_k09_06,HM,k,9,6,45,0.5,0,0,0,FF,1,68.86,KERN ABT 220-5DM,11.91,HIOKI 3554,3.576,HIOKI 3554
HM025,TP_k10_04,HM,k,10,4,45,0.8,0,0,0,FF,1,68.01,KERN ABT 220-5DM,12.77,HIOKI 3554,3.574,HIOKI 3554
HM026,TP_k10_05,HM,k,10,5,45,0.8,0,0,0,FF,1,68.36,KERN ABT 220-5DM,12.53,HIOKI 3554,3.575,HIOKI 3554
HM027,TP_k10_06,HM,k,10,6,45,0.8,0,0,0,FF,1,68.34,KERN ABT 220-5DM,12.61,HIOKI 3554,3.576,HIOKI 3554
HM028,TP_k11_04,HM,k,11,4,45,1,0,0,0,FF,1,68.61,KERN ABT 220-5DM,12.33,HIOKI 3554,3.576,HIOKI 3554
HM029,TP_k11_05,HM,k,11,5,45,1,0,0,0,FF,1,68.57,KERN ABT 220-5DM,12.92,HIOKI 3554,3.575,HIOKI 3554
HM030,TP_k11_06,HM,k,11,6,45,1,0,0,0,FF,1,68.73,KERN ABT 220-5DM,11.98,HIOKI 3554,3.574,HIOKI 3554
S019,TP_z01_01,SIE,z,1,1,23,0.7,0.3,0.6,1.1,cLH,1,68.004,Sartorius BP 310S,13.06,HP 4338B Milliohmmeter,3.5764,Fluke 189
S020,TP_z01_02,SIE,z,1,2,23,0.7,0.3,0.6,1.1,cLH,1,68.28,Sartorius BP 310S,13.26,HP 4338B Milliohmmeter,3.5788,Fluke 189
S021,TP_z01_03,SIE,z,1,3,23,0.7,0.3,0.6,1.1,cLH,1,67.986,Sartorius BP 310S,13.02,HP 4338B Milliohmmeter,3.5752,Fluke 189
S022,TP_z02_01,SIE,z,2,1,23,0.65,0.35,0.4,1.5,cLH,1,68.331,Sartorius BP 310S,12.79,HP 4338B Milliohmmeter,3.5774,Fluke 189
