name,temp,dod,c_dch,soc_max,stage,cap_0,norm_cu_1,norm_cu_2,norm_cu_3,target_retention,final_retention,n_checkups
TP_z01_01,23,0.3,1.1,0.7,1,4.8364,0.9945000413530725,0.9849474815978827,0.9797163179224215,0.9663799520304358,0.9108014225456952,11
TP_z01_01_s2,23,0.3,1.1,0.7,2,4.7661,0.9950693439080172,0.9842638635362245,0.9809697656364743,0.9773609450074484,0.9331948553324522,11
TP_z01_02,23,0.3,1.1,0.7,1,4.8351,0.99501561498211,0.9838266013112449,0.9782837997145871,0.965357490020889,0.9105706190151187,11
TP_z01_02_s2,23,0.3,1.1,0.7,2,4.8098,0.9972556031435817,0.9882531498191194,0.9854463803068734,0.9822237930891098,0.9409954675870098,11
TP_z01_03,23,0.3,1.1,0.7,1,4.8349,0.9953463360152227,0.985770129682103,0.9807648555295869,0.9678380111274276,0.9164615607354857,11
TP_z01_03_s2,23,0.3,1.1,0.7,2,4.7436,0.997048655029935,0.9876675942322288,0.987583270090227,0.982186525002108,0.9415001264862131,11
TP_z02_01,23,0.35,1.5,0.65,1,4.7614,0.9866845885663881,0.9620909816440542,0.9485865501743186,0.869324148359726,0.869324148359726,5
TP_z02_01_s2,23,0.35,1.5,0.65,2,4.8335,0.9979724837074583,0.989862418537292,0.9880831695458777,0.985724630185166,0.949146581152374,11
TP_z02_02,23,0.35,1.5,0.65,1,4.7512,0.986677050008419,0.9634829095807376,0.9479920862097997,0.8447760565751811,0.8447760565751811,5
TP_z02_02_s2,23,0.35,1.5,0.65,2,4.8059,0.9983353794294513,0.9894504671341476,0.9880771551634449,0.9857883018789403,0.9498533053122202,11
TP_z02_03_s2,23,0.35,1.5,0.65,2,4.8169,0.9983599410409184,0.9895160788058709,0.9859660777678588,0.9843675392887541,0.9492204529884365,11
TP_z03_01,23,0.15,2.0,0.8,1,4.8233,0.9943399747061142,0.9824808740903532,0.9767171853295463,0.971554744676881,0.9078017125204735,11
TP_z03_01_s2,23,0.15,2.0,0.8,2,4.8196,0.9912025894265083,0.9784836915926634,0.9719271308822309,0.9553904888372478,0.8819196613826873,11
TP_z03_02,23,0.15,2.0,0.8,1,4.7872,0.9947986296791442,0.9824323195187166,0.9776278409090909,0.9723220254010695,0.9136238302139038,11
TP_z03_02_s2,23,0.15,2.0,0.8,2,4.8029,0.9907764059214225,0.9790543213475192,0.9718711611734576,0.9572341710216744,0.8870890503654042,11
TP_z03_03,23,0.15,2.0,0.8,1,4.7938,0.9951395552588761,0.9822270432642162,0.9767407901873252,0.9714840001668822,0.9126371563269222,11
TP_z03_03_s2,23,0.15,2.0,0.8,2,4.81,0.9904573804573805,0.9797297297297299,0.9731600831600833,0.9586486486486488,0.8866943866943867,11
TP_z04_01,23,0.5,0.3,0.8,1,4.816,0.9911129568106313,0.9640988372093022,0.9312292358803986,0.9411337209302325,0.9411337209302325,5
TP_z04_01_s2,23,0.5,0.3,0.8,2,4.8021,0.9974802690489577,0.9936486120655547,0.989921076195831,0.9799254492826055,0.9613294183794588,8
TP_z04_02,23,0.5,0.3,0.8,1,4.8175,0.9948105864037365,0.9853450960041515,0.9795952257394914,0.9757965749870264,0.2898598858329009,6
TP_z04_02_s2,23,0.5,0.3,0.8,2,4.8116,0.998565965583174,0.9950328373098345,0.9912503117466123,0.9799235181644359,0.9586208329869481,8
TP_z04_03,23,0.5,0.3,0.8,1,4.7919,0.9984557273732758,0.9947619941985434,0.9909430497297522,0.9804461695778293,0.9584715874705232,8
TP_z04_03_s2,23,0.5,0.3,0.8,2,4.8134,0.9939336020276729,0.9801803299123282,0.9611916732455229,0.9718286450326175,0.9718286450326175,5
TP_z05_01,23,0.05,0.6,0.4,1,4.8479,0.9983085459683574,0.9947193630231647,0.9930897914560943,0.9879329194084036,0.9793725118092369,8
TP_z05_01_s2,23,0.05,0.6,0.4,2,4.8552,1.0003089471082551,0.9988260009886307,0.9983110891415391,0.9951186356895699,0.9897635524798155,8
TP_z05_02,23,0.05,0.6,0.4,1,4.8609,0.9982513526301714,0.9954329445164476,0.9938283034006048,0.988541216647123,0.9798802690859717,8
TP_z05_02_s2,23,0.05,0.6,0.4,2,4.8379,1.00035139213295,0.9987804625974078,0.9981190185824428,0.9951631906405671,0.9896856073916368,8
TP_z05_03,23,0.05,0.6,0.4,1,4.8663,0.9987670303927008,0.9954996609333581,0.9932597661467645,0.9885128331586626,0.978936769208639,8
TP_z05_03_s2,23,0.05,0.6,0.4,2,4.8395,1.0005372455832215,0.9989461721252194,0.9980989771670628,0.9957846885008781,0.9900816200020663,8
TP_z06_01,23,0.6,1.0,0.8,1,4.8551,0.9939239150583921,0.985087845770427,0.9785792259685692,0.9667566064550678,0.9353463368416716,8
TP_z06_01_s2,23,0.6,1.0,0.8,2,4.8403,0.9987190876598558,0.9953515277978637,0.9935127987934633,0.9884304691857942,0.980765655021383,8
TP_z06_02,23,0.6,1.0,0.8,1,4.8427,0.9939083569083363,0.9853181076672105,0.9788754207363661,0.9676213682449873,0.9377206930018379,8
TP_z06_02_s2,23,0.6,1.0,0.8,2,4.8408,1.000826309700876,0.9970252850768467,0.9953313501900513,0.9941332011237813,0.982916046934391,8
TP_z06_03,23,0.6,1.0,0.8,1,4.8072,0.9946746546846398,0.986957064403395,0.9807788317523716,0.9695872857380595,0.9396530204692961,8
TP_z06_03_s2,23,0.6,1.0,0.8,2,4.8412,0.9997314715359829,0.9961786333966786,0.9945054945054946,0.990911344294803,0.9826282739816575,8
TP_z07_01,35,0.1,0.4,0.5,1,4.8519,0.9972588058286445,0.9909313877037862,0.9880871411199738,0.9809971351429336,0.9649827902471199,8
TP_z07_01_s2,35,0.1,0.4,0.5,2,4.7821,0.9982225382154284,0.9916563852700697,0.9879969051253634,0.98002969406746,0.965266305597959,8
TP_z07_02,35,0.1,0.4,0.5,1,4.8389,0.996858790220918,0.9918783194527682,0.9886544462584472,0.9808220876645519,0.965095372915332,8
TP_z07_02_s2,35,0.1,0.4,0.5,2,4.8044,0.9966280909166596,0.9918616268420614,0.9877612188826908,0.9827033552576805,0.9639497127633002,8
